	ID	Identifier	Title	ApiUrl	RecordCount	ColumnCount
4675	4675	81114eng	Construction; value added (SIC 2008), volume changes and index 2005 = 100  	https://opendata.cbs.nl/ODataApi/OData/81114eng	221	3
4676	4676	37821eng	Construction; value added (SIC 1993), index 2000=100 and changes;1995-2011	https://opendata.cbs.nl/ODataApi/OData/37821eng	274	3
4677	4677	81987ENG	Construction; value added (SIC 2008), Jan 2005 - April 2014	https://opendata.cbs.nl/ODataApi/OData/81987ENG	158	3
4678	4678	7413eng	Residential construction; stock, changes and progress, region, 1988 - 2011	https://opendata.cbs.nl/ODataApi/OData/7413eng	21816	56
4679	4679	82261ENG	Civil engineering works; Input price index 2008-2019	https://opendata.cbs.nl/ODataApi/OData/82261ENG	432	4
4680	4680	80858eng	Civil engineering works; input price index 2005 = 100, 2005-2013	https://opendata.cbs.nl/ODataApi/OData/80858eng	324	4
4681	4681	80573eng	Consumer prices; rent increase for dwellings by landlord	https://opendata.cbs.nl/ODataApi/OData/80573eng	6	5
4682	4682	80503eng	Consumer prices; rent increase for dwellings by region	https://opendata.cbs.nl/ODataApi/OData/80503eng	102	5
4683	4683	81884ENG	House Price Index; existing own homes; 2010=100     1995-2017	https://opendata.cbs.nl/ODataApi/OData/81884ENG	391	9
4684	4684	81885ENG	House Price Index by region; existing own homes; 2010 = 100 1995-2017	https://opendata.cbs.nl/ODataApi/OData/81885ENG	2415	10
